region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
LeftMotor;PCA_1;6;{'C': 0.9, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.643957345971564;0.6046830701402607;0.5744536302849662;0.643957345971564;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6646919431279621;0.6076984867129118;0.5878589475824259;0.6646919431279621;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 0.9, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6457345971563981;0.6098959517540643;0.5859363979317717;0.6457345971563981;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 0.9, 'solver': 'liblinear'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6617298578199052;0.6104115736416039;0.6003662035461691;0.6617298578199052;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6469194312796208;0.6123290132746345;0.5889141166508893;0.6469194312796208;0.0;0.0;0.0;0.0
RightMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['Signal_left']};['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];['Signal_left_t6', 'Signal_left_t5', 'Signal_left_t4', 'Signal_left_t3'];0.6629146919431279;0.6126513904523058;0.6017659716598427;0.6629146919431279;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 0.7, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6747630331753555;0.6592686821480598;0.6301425471784082;0.6747630331753555;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6729857819905213;0.6380577892660744;0.6126945460695984;0.6729857819905213;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6848341232227488;0.6707977569704205;0.6517050160546762;0.6848341232227488;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6765402843601895;0.64708123392178;0.6379721896188495;0.6765402843601895;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 0.8, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6830568720379147;0.6681982191188788;0.6502671114077374;0.6830568720379147;0.0;0.0;0.0;0.0
RightMotor;PCA_3;6;{'C': 0.8, 'solver': 'lbfgs'};{'speech_left_ts': ['IPU_left']};['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];['IPU_left_t6', 'IPU_left_t5', 'IPU_left_t4', 'IPU_left_t3'];0.6753554502369669;0.6449366179102146;0.6349659259639273;0.6753554502369669;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6520723876240514;0.7748461336134329;0.5283438531972047;0.6520723876240514;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6824284880326912;0.7843511443809013;0.5638495771934766;0.6824284880326912;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6485697606538237;0.619774479503711;0.5879520240938398;0.6485697606538237;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6666666666666666;0.6212845380579693;0.6098676981917903;0.6666666666666666;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6485697606538237;0.619774479503711;0.5879520240938398;0.6485697606538237;0.0;0.0;0.0;0.0
RightMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['talk_left']};['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];['talk_left_t6', 'talk_left_t5', 'talk_left_t4', 'talk_left_t3'];0.6824284880326912;0.7843511443809013;0.5638495771934766;0.6824284880326912;0.0;0.0;0.0;0.0
LeftMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6686355581807443;0.6470238239250007;0.6208298154521582;0.6686355581807443;0.0;0.0;0.0;0.0
RightMotor;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6719670200235571;0.6297364680921146;0.6273390896996676;0.6719670200235571;0.0;0.0;0.0;0.0
LeftMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6851742468989959;0.6750318627058663;0.6774776043891743;0.6851742468989959;0.0;0.0;0.0;0.0
RightMotor;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6654888103651354;0.6581525953584079;0.6613395445045983;0.6654888103651354;0.0;0.0;0.0;0.0
LeftMotor;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_left_ts': ['disc_IPU_left']};['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];['disc_IPU_left_t6', 'disc_IPU_left_t5', 'disc_IPU_left_t4', 'disc_IPU_left_t3'];0.6851742468989959;0.6750318627058663;0.6774776043891743;0.6851742468989959;0.0;0.0;0.0;0.0
